Number	Question	A	B	C	D	Answer	Image	D_Last	Extra
1	Which guardian was most appreciative of Laverna's baking skills in Fairytopia?	Ruby	Topaz	Azura	Amethyst	B		0	Topaz thought that the "fluffernutters" were "quite good."
2	Which character was not voiced by the same voice actor/actress?	Laverna	Genevieve	Lydia	Snouts	B		0	Kathleen Barr voiced Shiver, Laverna, Lydia, Eris, Snouts, and many other characters.
3	What was the name of Derek's Parrot?	Desmond	Felix	Azul	Sylvester	B		0	Many would argue that indeed Derek should have traded him instead of the horse.
4	Which of the follow characters is not a Princess?	Rapunzel	Anneliese	Mariposa	Merliah	C		0	Mariposa and Prince Carlos never actually cement a relationnship. Probably because he's too busy hanging out with Willa.
5	What was Prince Nalu's name in Fairytopia (before Mermaidia)?	Nori	Faban	Kai	Navine	C		0	Mattel likely changed his name because he was a playboy in the first movie.
6	Which of the following of Barbie's friends did not share the same character model as Barbie?	Erica	Dandelion	Alexa	Luciana	B		0	
7	Which of the following of Barbie's animal friends is the smallest?	Penelope	Brietta	Tika	Twyla	D		0	Brietta can be considered an animal friend since she's a pegasus almost the entire movie.
8	Which is Barbie's cat in the 12 Dancing Princesses?	Serafina	Twyla	Chuzzlewit	Miette	B		0	
9	Which of the guardians was supposedly the tallest?	Azura	Ruby	Tourmaline	Topaz	B		0	Actually, if you compare Ruby and Tourmaline's character models, they're all about the same height.
10	Which movie was not produced before 2007?	Diamond Castle	Magic of Pegasus	Princess and the Pauper	Magic of the Rainbow	A		0	
11	Who was the male lead in Swan Lake (2003)?	Prince Siegfried	Prince Daniel	Prince Mathias	Prince Ian	B		0	Despite Swan Lake's Prince being Siegfried, Swan Lake (2003) renamed their male lead. However, Pink Shoes kept the male lead as Siegfried.
12	Which movie did not include a talking horse-creature?	Pegasus	Princess and the Pauper	12 Dancing Princesses	Three Musketeers	C		0	Only in Pegasus did the "horse" actually communicate with the humans.
13	Which villain did not share a common theme color?	Laverna	Queen Arianna	Lydia	Philippe	A		0	The other three had a dark red theme color, though green was a very common villain color in Barbie as well.
14	In which movie does Ken break up with Barbie?	Fashion Fairytale	Fairy Secret	Princess Charm School	It's a trick question	D		1	Ken could never truely break up with Barbie.
15	Which movie is not a musical?	Rapunzel	Island Princess	Diamond Castle	Mermaid Tale	A		0	Rapunzel has beautiful instrumental music that is highly recommended.
16	In which movie is the villain not related to royalty?	Princess and the Pauper	Fairytopia	12 Dancing Princesses	Island Princess	A		0	Preminger's plan is to marry into the crown, and if he is related to royalty, it is not explicitly stated.
17	Which male lead has blonde hair?	Prince Eric	Derek	Prince Carlos	Dillion	D		0	Dillion is ballet dancer who is also Siegfriend in the Pink Shoes.
18	Which of the following movies did not include fairies?	Nutcracker	Mermaidia	Diamond Castle	Princess Charm School	C		0	
19	Who does Portia thinks makes her clothes?	Elves	Bakers	Flairies	Servants	A		0	
20	What is the Princes' boarding school in Princess Charm School?	Prince's Charm School	Prince Charming Academy	Royal Prince Academy	Sir Brock's Distinquished School for Gentle Royals	B		0	
21	For what does Barbie and Ken spar over in Wally's?	Raquelle	Ice cream	A joke	Waffles	B		0	But they never eat the icecream beyond the one spoonful Ken steals.
22	What does Ken ask for when Princess Graciella's ladies in waiting put him in armor?	A mirror	A staff	A different color	A can opener	D		0	
23	What are the small helping fairies called in Mariposa?	Flairies	Sparklites	Flutter Pixies	Butterfly Sprites	C		0	
24	What is the best definition for "beflutter" as used in Mariposa?	To have your heart race at the thought of the prince.	A sign of respect to the royal butterfly fairies.	To adorn dresses in sparkles to impress the prince.	It's a type of Flutterfield snack.	C		0	
25	What is Prince Carlos's alias when he first meets Mariposa?	Andreas	Solrac	Julian	Nicholas	A		0	Andreas is the main character from the book that both Prince Carlos and Mariposa are in love with.
26	Which species does not exist in the Fairytopia universe?	Meewah	Puffball	Sea Butterfly	Pegapony	D		0	Zinzie is a meewah (Mariposa), Bibble and Dizzle are puffballs, Mermaidia had sea butterflies, and Glossangeles from Fairy Secret had pegaponies.
27	Which fairy type isn't mentioned in the fairytopia universe?	Glimmer fairy	Butterfly fairy	Crystal fairy	Sparkle fairy	A		0	Butterfly fairies are from Mariposa, Crystal fairies are from Mariposa II, and Sparkle fairies are from Magic of the Rainbow.
28	Why was Aiden in the Forbidden Forest?	He was waiting to rescue Princess Annika.	He was looking for his father.	He was running away from his gambling addiction.	He was troll hunting.	C		0	Aiden explains that nobody comes to the Forbidden Forest, despite being there himself. An odd location for someone who is in need of business.
29	Why does Barbie get fired in Fashion Fairytale?	Ken was fired, so Barbie got herself fired so they could be together.	She refused to work with zombie peas.	She was given a better opportunity, so her studio fired her so she could pursue it.	She wasn't good at her job.	B		0	
30	What is the name of Break's son (Merliah's father)?	Shred	Crash	Rip	Tank	C		0	And if Merliah had a brother, he should be named Shred.
31	Which princess from 12 Dancing Princesses was the eldest?	Ashlyn	Fallon	Isla	Lacey	A		0	The eldest to youngest are named alphabetically (A-L).
32	What item does Rapunzel find at the beginning of the movie?	A magical paintbrush	A magical hairbrush	Magic berries	A magical dress	B		0	Not long after Rapunzel finds it, it transforms into a paintbrush (which is seemingly much more useful anyways).
33	Which of the following movies does not include a character named Hadley?	12 Dancing Princesses	Mermaid Tale	Fashion Fairytale	Princess Charm School	C		0	
34	Which of the following did not exist in Oceana?	Seaphora	A deep sea 3 player	Bloomingtails	Underwater Outfitters	D		0	
35	Why did Merliah need a comb?	To wow the merfolk	To brush her hair	To sell it for a profit	To search for lice	A		0	But, did she really need the comb?
36	Which of the following villains did not have a sidekick who simped for them?	Laverna	Duchess Rowena	Queen Ariana	Lydia	C		0	
37	Which of the following characters had a title, but no official name?	The Sugar Plum Princess	The Enchantress	The Cloud Queen	The Muses of Music	B		0	
38	Which extra(s) does not talk in the entire movie?	The skunk from Swan Lake	Princess Graciella's assistants	Brock	Prince, Blair's dog	D		0	
39	What amenities do Headmistress Privett mention are  available to the students at Princess Charm School?	State of the art digital class room	Olympic size ball room	Luxurious spa	All of the above	D		1	
40	What is Blair's Birthday?	April 26th	April 1st	December 13th	November 12th	A		0	"The day it all came together" - Dame Devin's lock system
41	How old was Stephan turning at his birthday ball?	16	17	18	20	C		0	Bro I dont even know this
42	Which was not a bug that the triplets took care of in 12 Dancing Princesses?	Harold, the catepillar	Thomas, the beetle	Richard, the spider	Christopher, the walking stick	D		0	Harold escapes one night the girls are going to bed causing a momentary clamour from the other sisters.
43	Many different types of fairies are introduced in Magic of the Rainbow, and some have special powers. What is Linden's type of fairy known for?	Speaking to animals	Seeing the future	Understanding many languages	Healing with the power of nature	C		0	Linden can understand many different animals because of his vast knowledge of languages.
44	There are three stages to the flight of spring in Magic of the Rainbow. What is the second stage?	Luminesence	Flance	Sparkle magic	Prayer	B		0	Topaz taught the apprentices the flance class.
45	Where can you find thistle bursts?	Bogs of the Hinter Lands	Swamp of the Skeezites	The monster's mouth	Nettle Swamp	D		0	
46	What poison is used on Queen Marabella?	Cyanide	Nettlepix	Ilyios	A love potion	C		0	Most believe this to be a fictional poison, if they even know if it.
47	What are the names of the two henchmen of Preminger?	Nick and Nack	Norm and Tom	Toby and Tony	They didn't have names	A		1	
48	What was Mariposa doing when Carlos broke into her house?	Reading	Sleeping	Brushing her wings	Getting dressed	B		0	Can they brush their own wings?
49	Who was the main character of Mariposa?	Catania	Mariposa	Willa	Bibble	C		0	:)
50	What did Anneliese and Julian find in the mines?	Gold	Pyrite	Love	Geodes	D		0	
51	What is the final quote of Mariposa?	The most beautiful thing you can be is yourself.	Listen to your heart—It knows the way.	Believe in yourself and you can do anything.	The beauty of the world is in your own unique story.	A		0	At the end of the credits.
52	What character does the voice actress of Mariposa also voice?	Laverna	Nori	Renee	Hot cobbler Derek	B		0	
53	What is the number of mentioned tasks required for a princess to know in the song "To Be a Princess" (unrepeated)?	25	34	42	51	B		0	
54	What is the name of the character shown in the image from Magic of the Rainbow?	Felicity	Glee	Joy	Teresa	B	https://cdn.discordapp.com/attachments/1305182222214496288/1306096288462409748/vlcsnap-00079.png?ex=67356c75&is=67341af5&hm=ac534e8ae8336139b8efeb12d2583560a50922170705b6a48e3f25047595cab4&	0	The puffballs are Bibble and Dizzle.
55	What is Queen Calissa's supposed fear?	Losing her only daughter	The death of the ocean	A heavy tail	Losing to Eris	C		0	I'm not sure any of us believe this to be her true fear…Unless this relates to the death of her dear Rip…????!!
56	How many ambassadors were there in Mermaid Tale 2?	3	4	5	6	B		0	The ambassadors are Selena (most beautiful), Kattrin (fastest), Renata (most courageous),  and Mirabella (nothing particularly special).
57	Who is the skilled mermaid warrior and mentor who trains Merlaih is advanced combat technique and magic spells? 	Seraphina	Her mother	Nori	I don't think I watched this movie	D		1	ChatGPT offered this question with Seraphina as the correct solution.
58	How does Corinne lose her initial fight when she reaches Paris?	She drops her letter	She trips on a barrel	Her cat distracts her	Fair and square	B		0	The only reason she loses is because of the evil dog, Brutus.
59	What is the name of Corrine's father?	D'Artagnan	Phillipe	Guillaume	Lucien	A		0	Oddly this is mentioned once when she gives her letter of introduction to Monsieur Treville.
60	What is Corrine's punishment for messing with the other maids?	Scrubbing every inch of the floor	Dusting every chandelier in the castle	Polishing ever knob on each and every door	Weeding the entire garden	A		0	With a tooth brush!
61	How much money does Corrine's mother give her?	10 Crowns	15 Crowns	100 Crowns	500 Crowns	B		0	The only thing we watch Corrine use this for is boarding Alexander.
62	Which musketeer likes to say "Diddo?"	Corrine	Aramina	Renee	Viveca	C		0	"YOU!"
63	What is the name of the bird that greets Prince Louis while he tests his hot air balloon?	Haliastur Indus	Ninox Novaeseelandiae	Locustella Fluviatilis	Vanellus Miles	C		0	This is actually commonly known as a river warbler.
64	What does Louis call his hot air balloon?	Airship	Hot Air Balloon	Sky Voyager	Nimbus Drift	B		0	
65	Which was not a name given at Prince Louis's ball?	Abby Birthday	Hedda Lettus	Mary Chrismus	Ivana Partey	C		0	The last one, Corrine's, was Lady Barb Eque
66	How does Corrine end the Prince's Sword Dance early?	She asks to get punch in the middle of the dance	Phillipe attacks	She steps on his foot	The fireworks start	A		0	We're never given real proof this ends their dance, but it is how she attempts to do it.
67	What does Louis think could be improved?	The passage door	The elevator	The zeppelin	The slope of the roof	B		0	If the cables were cantilevered at a more oblique angle the bearing weight would double.
68	What is the name of Catania's wheel chair?	Brietta	Zee	Sylvie	Trixie	C		0	
69	What movie follows Fairytopia?	Princess and the Pauper	12 Dancing Princesses	Island Princess	Magic of Pegasus	D		0	
70	How many movies are in the Fairytopia universe?	3	4	5	6	C		0	
71	What are the first five movies, in order?	Nutcracker, Swanlake, Rapunzel, Princess & the Pauper, Pegasus	Nutcracker, Rapunzel, Swan Lake, Pegasus, Princess & the Pauper	Nutcracker, Rapunzel, Swan Lake, Princess & the Pauper, Fairytopia	Nutcracker, Rapunzel, Swan Lake, 12 Dancing Princesses, Pegasus	C		0	
72	What year was Nutcracker released?	1999	2000	2001	2002	C		0	
73	Which movie was the first to include bloopers?	Nutcracker	Pegasus	Princess & the Pauper	Rapunzel	C		0	
74	Which movie does not have a double wedding?	Princess & the Pauper	Diamond Castle	Fairy Secret	Only Princess & the Pauper has a double wedding.	D		0	
75	There are two rival countries in Rapunzel. Which does Daniel belong to?	Frederick's Kingdom	Wilhelm's Kingdom	Capulet's Kingdom	Montague's Kingdom	A		0	King Frederick was Daniel's father, and Wilhelm was Rapunzel's father.
76	Usually Barbie wears pink, but some movies have her primary outfit in a different color. Which listed movie still has Barbie primarily in pink?	Island Princess	Swan Lake	Pegasus	Mermaid Tale	D		0	
77	Which of Barbie's friends portrays Alexa in Diamond Castle?	Stacie	Teresa	Summer	Hadley	B		0	While Diamond Castle's Teresa is whole hearted and level headed, Dream House Teresa is a complete air head.
78	What does Carlita, the skunk, often suffer from in Swan Lake?	Migraines	Body Odor	Cramps	Blindness from the sun	A		0	
79	What is Barbie's address in Dream House?	1959 Malibu Way	100 Pacific Coast Highway	1983 Mattel Court	100 Sunset Blvd	A		0	1959 was the year the first Barbie was released.
80	How many careers does Dream House claim Barbie has (and counting)?	120	135	155	167	B		0	
81	How old is Barbie according to Dream House?	87 years old	48 years old	100 years old	It never says	D		1	Instead Blissa turns on the shoe vacuum organizer and blurs out Barbie's words—Noo.
82	If Barbie was an ice cream, what flavor would she be?	Strawberry	Red Velvet	Sparkles	Pink	D		0	"Uhh… Pink is not a flavor?" —Raquelle
83	Which of the following does not  include Ken as "Ken?"	Dream House	Fairy Secret	Princess Charm School	Fashion Fairy Tale	C		0	This Ken is named Nicholas and gets all of 2 scenes.
84	What joke is made about Mariposa's wings in the second movie?	As Sparkly as the Sun	Comically Large	Queen Wanna-Be	Out-winging the Royals	B		0	
85	Ken faced many trials on his journey to Paris in Fashion Fairytale. Which of the following is NOT a trial he faced?	Sharing a seat with swine	Exposing his undergarments to France	Falling asleep on the bus and missing his stop	His phone battery dies	D		0	He also…
86	What underwear was Ken wearing in a Fashion Fairytale? 	Barbie "B" Underwear	Heart Pattern Underwear	Barbie Silhouette Underwear 	Ken "K" Underwear	B		0	
87	Most movies (apparently) have "inspirational" Barbie quotes at the end. Which of the following does not?	Princess and the Pauper	Rapunzel	Nutcracker	Magic of the Rainbow	C		0	
88	What was Barbie's 37th career (according to Dream House)?	Astronaut	Stewardess	Fashion Designer	Olympic Gymnast	B		0	According to wikipedia this was actually Barbie's 4th career, so maybe this question isn't really fair.
89	What ingredient is not needed to make Barbie?	Sugar	Spice	Everything Nice	Polyvinyl Chloride	C		0	According to Midge
90	How did Ken know when Barbie got a belly button?	Barbiepedia	A pool party	Barbie Game Show	When she showed off her new belly ring	A		0	
91	How many bathrooms are in the Dream House?	One	Three	One Hundred	None	A		1	Skipper mentions this when she can't get into the bathroom because Summer keeps using it when visiting the Dream House.
92	What's Chelsea's lemonade store's logo?	A lemon in a circle	A lemonade cup surrounded by hearts	A sparkly lemon held by a mermaid	A lemon surrounded by hearts	B		0	
93	What was not a reaction from Barbie's friends when it started to rain?	What is this wet stuff??	Gross, get it off me.	The sky is falling!	There's no way I'm going out in that disgusting..sky drool.	C		0	
94	When did Ken realize there could be too much food court?	When he won a 317lb rib eating competition	When Ryan spent 24 hours serenading Barbie in front of him	When Barbie made him go on a 38-hour shopping marathon.	When Barbie made him visit 521 different malls	C		0	
95	How many checker games did Chelsea win in a row against Ken?	157	26	52	31	B		0	Give or take
96	How many doll years did Barbie lose to deciding what to wear every day?	3.25	13.4	17	59	C		0	
97	What game did Chelsea not play against Ken?	Rock Paper Scissors	Poker	Checkers	Jump Rope	D		0	Chelsea plays jump rope with Summer.
98	What happens to Teresa when she wears Raquelle's dress?	She starts acting like Raquelle	Every time she sneezes she says "Raquelle"	Everyone agrees she wears it better than Raquelle	An agent asks her to model, upsetting Raquelle	A		0	She became so snobnoxious it impressed Raquelle.
99	What is Raquelle's dog name?	Taffy	Sparkle	C.Raquelle Jr.	Brunhilda	D		0	Raquelle thinks she only understands German, but really she can understand everything and simply enjoys ignoring her.
100	What did Raquelle build that was in violation of Malibu's mall regulations?	Her enlarged boutique	A stone selfie	An unfashionable convertible 	A billboard advertising Raquelle	B		0	Her statue caused problems for low-flying planes.
101	What did Raquelle not do as a cat?	Swing from fan	Follow a laser pointer	Roll in catnip	Cartwheel	C		0	Her parody video got a million views; It was made by the animals.
102	How large is Barbie's closet?	The size of California	The size of a football field	35 acres	The size of Yellowstone National Park	C		0	"Over 35 acres of fashion, shoes, and assorted fabulousness."
103	Where did closet go on vacation?	A ski resort	Hawaii	A circuit convention	A fashion house in Paris	A		0	He wanted to go skiing but nobody told him you needed feet for that.
104	Who was Ken's partner in the Amaze Chase?	Barbie	Chelsea	Skipper	Closet	D		0	Ken's secret weapon are his blue Fuzzy dice.
105	What item was not found during the Amaze Chase?	Her bathingsuit	The golden glob	Her flight attendant hat	Her space suit helmet	D		0	These items were hidden on Mount Barbie—mountains with 4 different Barbie heads carved into it.
106	Which movie is the following castle from?	Rapunzel	Princess & the Pauper	Pegasus	12 Dancing Princesses	B	https://cdn.discordapp.com/attachments/1305182222214496288/1323379724197695570/250.png?ex=67744ce9&is=6772fb69&hm=e32ee15ebe01a3d00a1fa37a796f9ed75513106da411945ba5d106ab43f1d50c&	0	
107	Which movie is the following castle from?	Rapunzel	Princess & the Pauper	Pegasus	12 Dancing Princesses	D	https://cdn.discordapp.com/attachments/1305182222214496288/1323380452135927949/3a841f8b31591ccbcf5370726aa1b6f2.png?ex=67744d97&is=6772fc17&hm=b9b5d0a8dabc64b464cebc26c820ad35d15baacff7eef3fe05ce63d6b8e836b1&	0	One of the few castles that weren't pink.
108	Which movie is the following castle from?	Rapunzel	Princess & the Pauper	Princess Charm School	Island Princess	A	https://cdn.discordapp.com/attachments/1305182222214496288/1323381426455842856/370.png?ex=67744e7f&is=6772fcff&hm=dafa32f4f3aa3cd2b2d9806f25009d3bff31dbd8d451959f05970c623477c2b4&	0	
109	Who does Pimm begrudgingly babysit?	The Nutcracker	Mouse soldiers	A rock	The orchestra	C		0	"Better than being a rock."